year	month	stream	site	wtemp	pH	conductivity	depth	flow	nh4	no3	season	urban.rural.ref	stream_order	richness	shannon.H
2015	5_August	LC	LCD	22.9	7.7	702.8	0.07	NA	0.014208	0.256874	late	urban	3	0	0
2015	5_August	LC	LCU	22.2	6.9	233.7	0.082	NA	0.010041	0.069963	late	rural	2	2	0.636514168
2015	5_August	PC	PCD	22.1	7.9	483.9	0.04	NA	0.015398	0.260569	late	urban	2	3	1.869946294
2015	5_August	PC	PCU	19	6.5	275.3	0.048	NA	0.022722	0.313207	late	rural	2	4	2.006039285
2015	5_August	PT	PTD	22.2	7.9	466	0.094	NA	0.00784	0.240549	late	urban	3	3	1.004242473
2015	5_August	PT	PTU	20.8	7.6	150.2	0.093	NA	0.022462	0.119749	late	rural	2	5	1.153741943
2015	5_August	SC	SCD	24.6	7.6	169.7	0.125	NA	0.008869	0.016058	late	reference	3	13	1.039720771
2015	5_August	SC	SCU	25.1	7.5	165.6	0.083	NA	0.00682	0.07382	late	reference	3	12	1.427061043
2015	5_August	TB	TBD	23.2	7.6	84.14	0.17	NA	0.003587	0.054867	late	reference	3	8	1.831125436
2015	5_August	TB	TBU	21.3	7.2	100.6	0.055	NA	0.002316	0.169635	late	reference	2	4	1.386294361
2015	6_September	CC	CCD	20.4	6.7	291.9	0.102	NA	0.019037	0.089156	late	urban	4	0	0
2015	6_September	CC	CCU	22.1	7.2	126	0.091	NA	0.010113	0.038554	late	rural	3	10	1.673280984
2015	6_September	FH	FHD	15.6	7.6	874	0.08	NA	0.004572	0.217419	late	urban	3	6	1.60839492
2015	6_September	FH	FHU	NA	NA	NA	0	NA	NA	NA	late	rural	3	0	0
2015	6_September	LC	LCD	19.2	7.6	925.3	0.04	NA	0.009984	0.22112	late	urban	2	10	1.81806824
2015	6_September	LC	LCU	20.3	7.4	257.1	0.07	NA	0.00706	0.034938	late	rural	2	7	1.529459904
2015	6_September	PC	PCD	14.5	7.8	593.3	0.04	NA	0.012898	0.324819	late	urban	2	10	0
2015	6_September	PC	PCU	14.7	7.1	324.3	0.02	NA	0.017042	0.223495	late	rural	2	12	0
2015	6_September	PT	PTD	18	7.5	626.7	0.055	NA	0.008612	0.563401	late	urban	3	4	1.829460695
2015	6_September	PT	PTU	22.7	7.1	159.7	0.06	NA	0.015455	0.086685	late	rural	2	4	2.10208897
2015	6_September	SC	SCD	NA	NA	NA	0	NA	NA	NA	late	reference	3	0	1.156987644
2015	6_September	SC	SCU	NA	NA	NA	0	NA	NA	NA	late	reference	2	0	1.33217904
2015	6_September	TB	TBD	16.9	7.1	92.96	0.1	NA	0.001967	0.104749	late	reference	2	14	2.292287989
2015	6_September	TB	TBU	14.6	7.2	129.3	0.04	NA	0.006449	0.045125	late	reference	3	12	2.001004519
